Company;Site Name;Site Alias;Description;Region;Site Group;Street;Country*+;City*+;Latitude;Longitude;Maintenance Circle Name; Site Type;Location ID;PrimAlias;Additional Site Details;Status
Dummy Company;ABBR-BASTOS;BASTOS;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-DOUANE;DOUANE;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-FADAMA;FADAMA;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-FANDUBERI;FANDUBERI;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-GARBEY;GARBEY;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-KARAKA;KARAKA;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-KORE;KORE;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-LOMA1800_2;LOMA1800_2;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-MALGOROU;MALGOROU;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-MALGOU;MALGOU;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-MOUSAD;MOUSAD;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-OUNA;OUNA;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-SIA;SIA;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-TOMBOKOIREY;TOMBOKOIREY;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-TDUTCH;TDUTCH;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-TESSA;TESSA;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-WADATANEW;WADATANEW;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-ADOUA SMAGAL;ADOUA SMAGAL;;Tahoua;Tahoua;;Country Name;Tahoua;;;;;;Yes;;
Dummy Company;ABBR-AEROMI;AEROMI;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-ARLIT 1 3 RELF;ARLIT 1 3 RELF;;Agadez;Agadez;;Country Name;Agadez;;;;;;Yes;;
Dummy Company;ABBR-YELDOU;YELDOU;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-AEROGARE;AEROGARE;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-AMBASSADE;AMBASSADE;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-BALLEYARA;BALLEYARA;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-BANGOUTAWEYE;BANGOUTAWEYE;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-BAWADA GUIDA;BAWADA GUIDA;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-DARSALAM;DARSALAM;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-DOUTCHI2RELIF;DOUTCHI2RELIF;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-Dasof1-2relf (Croix;Dasof1-2relf (Croix;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-ETAT MAJOR;ETAT MAJOR;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-FRANCOARABE ( ZINDER;FRANCOARABE ( ZINDER;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-GAZAOUA;GAZAOUA;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-GOUDOUMARIA;GOUDOUMARIA;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-GRAND HOTEL;GRAND HOTEL;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-GYA1R1;GYA1R1;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-DOGODOGO;DOGODOGO;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-GAFATI;GAFATI;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-GAGAWA;GAGAWA;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-GANGAR;GANGAR;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-GAO GAYAMBA;GAO GAYAMBA;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-GASAFA;GASAFA;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-GOURE;GOURE;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-ISSA BERI;ISSA BERI;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-JAGUINDI;JAGUINDI;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-FALMEYE;FALMEYE;;Dosso;Dosso;;Country Name;Dosso;;;;;;Yes;;
Dummy Company;ABBR-FRANCOPHONIE;FRANCOPHONIE;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-GOTHEYE;GOTHEYE;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-KONNI2-3RELF;KONNI2-3RELF;;Tahoua;Tahoua;;Country Name;Tahoua;;;;;;Yes;;
Dummy Company;ABBR-Konni 3rlf;Konni 3rlf;;Tahoua;Tahoua;;Country Name;Tahoua;;;;;;Yes;;
Dummy Company;ABBR-LAZARE;LAZARE;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-LAZARET 1rlf;LAZARET 1rlf;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-MAGARIA2RELF;MAGARIA2RELF;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-NGUIGMI;NGUIGMI;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-NORD FAISCEAU;NORD FAISCEAU;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-Ofedes2 - Diffa2 rel;Ofedes2 - Diffa2 rel;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-ROND POINT BARE;ROND POINT BARE;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-ROUTE DOSSO;ROUTE DOSSO;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-ROUTE TCHANGA;ROUTE TCHANGA;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-TAHOUA;TAHOUA;;Tahoua;Tahoua;;Country Name;Tahoua;;;;;;Yes;;
Dummy Company;ABBR-TAHOUA2RELF( MESSE);TAHOUA2RELF( MESSE);;Tahoua;Tahoua;;Country Name;Tahoua;;;;;;Yes;;
Dummy Company;ABBR-TAHOUA6;TAHOUA6;;Tahoua;Tahoua;;Country Name;Tahoua;;;;;;Yes;;
Dummy Company;ABBR-TALAGE2RELF;TALAGE2RELF;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-TANOUT3RELF;TANOUT3RELF;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-Tachan Arzika;Tachan Arzika;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-Universit? Tahoua;Universit? Tahoua;;Tahoua;Tahoua;;Country Name;Tahoua;;;;;;Yes;;
Dummy Company;ABBR-WADATA2-FAMEYE3RELF;WADATA2-FAMEYE3RELF;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-ZINDER43;ZINDER43;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-ZINDR61-BIRNI2 RELF;ZINDR61-BIRNI2 RELF;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-cite depute;cite depute;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-ALAHIA1800_1;ALAHIA1800_1;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-ABOUHA;ABOUHA;;Tahoua;Tahoua;;Country Name;Tahoua;;;;;;Yes;;
Dummy Company;ABBR-AGEKOR;AGEKOR;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-AGUIE;AGUIE;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-ALFORMA;ALFORMA;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-AMOUMO;AMOUMO;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-ARENE;ARENE;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-ASSAYA;ASSAYA;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-AZZGOR;AZZGOR;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-BERMO;BERMO;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-CHADAK#900;CHADAK#900;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-DANKAD;DANKAD;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-DANMAI1800_1;DANMAI1800_1;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-DANSOFO2;DANSOFO2;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-DKORO2;DKORO2;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-ELGOUL;ELGOUL;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-BILDI;BILDI;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-DANKANOREP;DANKANOREP;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-DARGUE;DARGUE;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-FAKKON;FAKKON;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-GABI;GABI;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-GANDOU;GANDOU;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-GIDANDUTCHI;GIDANDUTCHI;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-GUIDWA;GUIDWA;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-INDAKA;INDAKA;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-INTUILA;INTUILA;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-ISSAOU1800_1;ISSAOU1800_1;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-KALGO;KALGO;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-KANEMB;KANEMB;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-KANKARI;KANKARI;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-KORNAK;KORNAK;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-MADARO;MADARO;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-MAIGUIZE;MAIGUIZE;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-MARADI 1RELF;MARADI 1RELF;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-MARADI 2 RELIEF;MARADI 2 RELIEF;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-MARADI1REL;MARADI1REL;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-MARADI6;MARADI6;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-MARADI7;MARADI7;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-MAYKI;MAYKI;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-MAYRERE;MAYRERE;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-OURAFA;OURAFA;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-ROUMBOUSAK;ROUMBOUSAK;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-SARK_HAUSA;SARK_HAUSA;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-SARYAM;SARYAM;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-SAYSABOUA;SAYSABOUA;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-TAKORKA;TAKORKA;;Tahoua;Tahoua;;Country Name;Tahoua;;;;;;Yes;;
Dummy Company;ABBR-TAPKINGUIWA;TAPKINGUIWA;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-ROUMJI;ROUMJI;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-SBONMA;SBONMA;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-TACHANARZIKA;TACHANARZIKA;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-TESSAOUA;TESSAOUA;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-ZARIA;ZARIA;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-ZARIA1RELF;ZARIA1RELF;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-TCHAKE;TCHAKE;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-TESSAOUA2;TESSAOUA2;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-WOURSENA;WOURSENA;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-ZAROUMEYE;ZAROUMEYE;;Maradi;Maradi;;Country Name;Maradi;;;;;;Yes;;
Dummy Company;ABBR-AMATALTAL;AMATALTAL;;Agadez;Agadez;;Country Name;Agadez;;;;;;Yes;;
Dummy Company;ABBR-ASSAOU;ASSAOU;;Agadez;Agadez;;Country Name;Agadez;;;;;;Yes;;
Dummy Company;ABBR-BABOUDJE;BABOUDJE;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-BAKINB;BAKINB;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-BOUNE;BOUNE;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-DAGAMA;DAGAMA;;Agadez;Agadez;;Country Name;Agadez;;;;;;Yes;;
Dummy Company;ABBR-AGADEZ;AGADEZ;;Agadez;Agadez;;Country Name;Agadez;;;;;;Yes;;
Dummy Company;ABBR-AGAREYGAREY;AGAREYGAREY;;Agadez;Agadez;;Country Name;Agadez;;;;;;Yes;;
Dummy Company;ABBR-AGD23R1800_1;AGD23R1800_1;;Agadez;Agadez;;Country Name;Agadez;;;;;;Yes;;
Dummy Company;ABBR-GUEZAWA;GUEZAWA;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-GUIDIM;GUIDIM;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-INGAL;INGAL;;Agadez;Agadez;;Country Name;Agadez;;;;;;Yes;;
Dummy Company;ABBR-JAGUIND2;JAGUIND2;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-JAGUINNI;JAGUINNI;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-KASSAMA;KASSAMA;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-KISSAM;KISSAM;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-MAGAR_TUNK;MAGAR_TUNK;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-MAIKUMBUR;MAIKUMBUR;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-MAIMOU;MAIMOU;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-NASSARAWA;NASSARAWA;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-SABONG;SABONG;;Agadez;Agadez;;Country Name;Agadez;;;;;;Yes;;
Dummy Company;ABBR-SKAFI;SKAFI;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-TAKIET;TAKIET;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-TCHIRO;TCHIRO;;Agadez;Agadez;;Country Name;Agadez;;;;;;Yes;;
Dummy Company;ABBR-TCHNAGARI;TCHNAGARI;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-TIRMIN;TIRMIN;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-TSATSO;TSATSO;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-WACHA;WACHA;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-YAGADJ;YAGADJ;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-YAOURI;YAOURI;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-ZIND2R;ZIND2R;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-ZINDER;ZINDER;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-ZINDER6;ZINDER6;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-ZINDER71800;ZINDER71800;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-ZINDR1REL;ZINDR1REL;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-ADOUAKIHI2;ADOUAKIHI2;;Tahoua;Tahoua;;Country Name;Tahoua;;;;;;Yes;;
Dummy Company;ABBR-AGADI;AGADI;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-ALAKOSTE;ALAKOSTE;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-AMIROUKOIRA;AMIROUKOIRA;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-ARNADI;ARNADI;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-BAGA;BAGA;;Tahoua;Tahoua;;Country Name;Tahoua;;;;;;Yes;;
Dummy Company;ABBR-BANDIO;BANDIO;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-BANGUTAWEY;BANGUTAWEY;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-BANGUTERA;BANGUTERA;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-BANNE;BANNE;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-BOURKOU;BOURKOU;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-DANALA;DANALA;;Tahoua;Tahoua;;Country Name;Tahoua;;;;;;Yes;;
Dummy Company;ABBR-DOUNGO;DOUNGO;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-DUNGAS;DUNGAS;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-GOTHEY;GOTHEY;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-BOUKANDA;BOUKANDA;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-BOULOUNDJOUNGA;BOULOUNDJOUNGA;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-DANALA_1;DANALA_1;;Tahoua;Tahoua;;Country Name;Tahoua;;;;;;Yes;;
Dummy Company;ABBR-GABUKANDAJ;GABUKANDAJ;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-FARIE;FARIE;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-JAMBIRJ1;JAMBIRJ1;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-KARMA;KARMA;;Niamey;Niamey;;Country Name;Niamey;;;;;;Yes;;
Dummy Company;ABBR-KOKOMANI;KOKOMANI;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-KOLMAN;KOLMAN;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-KUTUGU;KUTUGU;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-MAGARI;MAGARI;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-MALAWA;MALAWA;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-MALAWA1800_1;MALAWA1800_1;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-MANDA;MANDA;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-MATAME;MATAME;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-MBANGA;MBANGA;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-MEHANA;MEHANA;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
Dummy Company;ABBR-MIRRIA;MIRRIA;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-TAKIETAREPEATER;TAKIETAREPEATER;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-TAKOUKOU;TAKOUKOU;;Grand Est;Grand Est;;Country Name;Grand Est;;;;;;Yes;;
Dummy Company;ABBR-TERA1RELF;TERA1RELF;;Tillabery;Tillabery;;Country Name;Tillabery;;;;;;Yes;;
